id,content
1,手机用了三天摄像头就进灰了，拍出来雾蒙蒙的，找客服说让我自己拿去修，明明在保修期内也不处理，太坑了。
2,下单时显示次日达，结果等了五天才到，快递盒破了个大洞，里面的数据线都压扁了。
3,裙子颜色和详情页完全不一样，说是米白色拿到手是屎黄色，退货还要自己贴12块运费，气死了。
4,充电宝标称20000毫安，充满电只能给我的iPhone充1.5次，和宣传差太远，感觉被骗了。
5,买的L码T恤比我在别家买的M码还小，面料硬得像砂纸，穿上脖子都磨红了。
6,蓝牙耳机左耳一直有电流声，滋滋滋的听不了歌，换货邮费要我出，凭什么啊？
7,物流显示已签收但我根本没收到，找快递员他说放门口了，现在东西丢了谁也不管。
8,锅具套装说是304不锈钢，拿磁铁一吸就粘住了，明显是201的，虚假宣传太恶心。
9,扫地机器人扫了十分钟就卡在椅子底下出不来，建图也不准，同一个地方撞了八次。
10,买的42码皮鞋，左脚挤右脚松，两只鞋尺码都不一样，这品控怎么过关的？
11,面膜用了脸上起红疹，去 dermatology 花了三百多，客服说不可能过敏让我出具证明。
12,下单时页面显示送支架，收到货发现没有，问客服说活动结束了，但页面根本没改。
13,显示器收到时屏幕右下角有块黑斑，开机就能看到，申请换货说要检测7-15个工作日。
14,瑜伽垫味道刺鼻，放阳台散了一周还是有股塑料味，做动作时手都打滑。
15,行李箱轮子拉出去第一天就掉了一个，机场推都推不动，质量太差了。
16,空气炸锅第一次用就冒黑烟，塑料味熏得整个厨房都是，不敢再用了。
17,买二送一的洗发水，到手只有一瓶，客服说系统故障补不了，要么退全款重新拍。
18,鼠标滚轮用了两周就不灵了，上下滚动会回弹，打游戏根本没法用。
19,羽绒服寄过来就一朵一坨的，棉花分布不均匀，后背那块几乎没填充，冻死人。
20,咖啡机出水口滴水，用一次擦一次台面，设计有缺陷还卖这么贵。
21,婴儿辅食盒盖子盖不严，放冰箱串味，密封性完全不行。
22,台灯底座不稳，稍微碰一下桌子就倒，差点砸到电脑屏幕。
23,净水器滤芯说是能用半年，结果两个月出水就慢了，换滤芯又贵。
24,买的多肉植物收到时土都撒了，根露在外面，种下去三天全死了。
25,电动牙刷刷头震动幅度越来越小，用了一个月跟手动刷没区别。
26,投影仪白天根本看不清，必须拉窗帘关灯，但商品页写的"白天也清晰"。
27,运动水壶盖子拧不紧，放包里漏水，整包东西全湿了。
28,护发精油用了头发更干，还起头皮屑，成分表排第一的是矿物油。
29,窗帘尺寸标的是2米宽，实际只有1.8米，两边漏光根本遮不住。
30,游戏机手柄摇杆漂移，新买的游戏没法玩，校准了也没用。
31,乳胶枕睡了脖子更酸，高度和描述不符，太高了。
32,除螨仪吸力小到连头发丝都吸不起来，用了跟没用一样。
33,筋膜枪噪音大得像电钻，在健身房用旁边人都看我。
34,保温饭盒中午带的饭下午就凉了，保温效果等于没有。
35,粘毛器滚了两下纸就断了，粘性也不够，猫毛还是粘衣服上。
36,加湿器喷出来的水雾有异味，水箱里还有黑色沉淀物。
37,智能门锁指纹识别率太低，十次有六次识别不了，还得输密码。
38,泡脚桶加热不均匀，前面烫后面凉，按摩功能就是几个塑料珠在转。
39,无线充电器充一夜才充到60%，手机还发烫，不敢再用了。
40,枕头套说是纯棉，摸着滑溜溜的，烧了一下有塑料味。
41,行车记录仪晚上录出来全黑，车牌都看不清，夜视功能假的。
42,微波炉转盘不转，加热不均匀，一半热一半冰。
43,电吹风风力小，长头发要吹半小时，还一股烧焦味。
44,床垫睡了腰间盘突出复发，太软了没有支撑力。
45,染发剂染出来的颜色和盒子上的图差了两个色号，还伤头发。
46,体重秤每次站上去数字都不一样，差五斤，这怎么减肥？
47,蓝牙音箱低音浑浊，高音破音，放音乐跟收音机似的。
48,电热水壶烧出来的水有股金属味，壶底还有锈斑。
49,凉席睡了一晚身上全是印子，还夹头发，翻身就疼。
50,车载手机支架吸盘根本吸不住，过个减速带就掉了，差点砸到脚。
